Tow Date,Make,Style,Color,State
09/03/2017,PONT,4D,SIL,IL
11/01/2017,DODG,VN,PLE,IL
11/01/2017,HOND,2H,BLK,IL
11/01/2017,PONT,4D,GRY,IL
10/04/2017,AUDI,4D,BLU,RI
11/02/2017,CHEV,VN,BRO,IL
11/02/2017,CHEV,4D,SIL,IL
11/02/2017,LINC,4D,SIL,IL
11/03/2017,OLDS,4D,SIL,IL
11/03/2017,NISS,4D,WHI,IL
11/03/2017,AUDI,4D,SIL,IL
11/03/2017,HYUN,4D,GRN,IL
11/03/2017,CHEV,PK,RED,IL
11/03/2017,SATR,4D,WHI,IL
11/01/2017,DODG,VN,MAR,IL
11/01/2017,HYUN,LL,BLU,
10/03/2017,DODG,VN,BLU,IL
09/04/2017,CHRY,VN,RED,IL
11/01/2017,LEXS,4D,GLD,IL
09/29/2017,TOYT,4D,BLU,IL
11/01/2017,FORD,4D,SIL,IL
10/03/2017,LINC,4D,WHI,IL
09/29/2017,JEEP,LL,BLK,IL
11/01/2017,HYUN,4D,MAR,IL
09/29/2017,FORD,VN,GRY,IL
10/27/2017,PONT,4D,DBL,IL
10/26/2017,CHEV,4D,BLK,IL
10/27/2017,PONT,4D,GRY,IN
09/29/2017,CHEV,2D,GRY,IL
10/28/2017,NISS,4D,BLK,IL
11/03/2017,KIA,4D,SIL,IL
10/28/2017,CHRY,4D,RED,IL
10/28/2017,FORD,VC,GRY,IL
10/28/2017,PONT,4D,BLK,IL
10/27/2017,AUDI,4D,BLK,IL
10/29/2017,FORD,4D,SIL,MO
10/03/2017,CADI,LL,WHI,IL
09/05/2017,HOND,2D,BLU,IN
11/01/2017,FORD,LL,MAR,IL
11/03/2017,AUDI,2D,BLK,IL
11/03/2017,BUIC,4D,BLU,IL
11/03/2017,DODG,VN,GRN,IL
11/03/2017,FORD,4D,BLK,IL
11/03/2017,NISS,4D,TAN,IL
11/03/2017,FORD,4D,TAN,IL
11/03/2017,BUIC,4D,SIL,IN
11/03/2017,NISS,4D,GRY,IL
10/01/2017,KIA,4D,GRY,
10/01/2017,DODG,2D,LBL,IL
10/01/2017,VOLK,2D,SIL,
11/03/2017,DODG,VN,BLU,IL
11/01/2017,FORD,LL,BLU,IL
11/02/2017,PONT,4D,BLK,IL
11/02/2017,KIA,VN,BLU,IL
11/02/2017,DODG,4D,GRY,IL
11/02/2017,DODG,4D,WHI,IL
09/30/2017,HYUN,4D,WHI,IL
09/30/2017,FORD,4D,GRY,IL
09/30/2017,VOLK,4D,WHI,IL
08/31/2017,PONT,4D,GRN,
08/31/2017,DODG,LL,BLU,IL
08/31/2017,VOLV,4D,BLU,WI
09/01/2017,NISS,4D,GRY,IL
09/30/2017,TOYT,4D,,IL
09/30/2017,BUIC,4D,WHI,IL
09/30/2017,CHEV,2D,RED,IL
09/30/2017,TOYT,4T,WHI,IL
10/02/2017,LEXS,4D,BLK,IL
10/02/2017,JEEP,LL,SIL,IN
10/02/2017,BUIC,4D,WHI,IL
11/02/2017,DODG,4D,BLU,IL
11/02/2017,PLYM,VN,DGR,IL
11/02/2017,MERC,LL,BLK,IL
11/02/2017,FORD,4D,SIL,IL
08/30/2017,BUIC,4D,BLU,IL
11/02/2017,NISS,4D,TAN,IL
11/02/2017,HOND,4D,GRY,WI
11/02/2017,JEEP,LL,WHI,IL
11/02/2017,SAA,4D,BLK,IL
11/04/2017,CHEV,LL,GRN,IL
